Date, Open, High, Low, Close
03/22/23, 40099.23, 40432.79, 39376.76, 39381.56
03/21/23, 39917.06, 40169.14, 39809.44, 40100.72
03/20/23, 39257.54, 39620.46, 39217.96, 39536.43
03/17/23, 39616.72, 39627.30, 39033.92, 39185.17
03/16/23, 38798.83, 39734.35, 38715.52, 39688.94
03/15/23, 38774.70, 39029.76, 38463.39, 39010.95
03/14/23, 39253.98, 39564.77, 38894.74, 39339.33
03/13/23, 38384.28, 39195.85, 38209.42, 38697.55
03/10/23, 39420.32, 39582.47, 38636.98, 38818.07
03/09/23, 40371.51, 40540.85, 39413.75, 39494.14
03/08/23, 40267.53, 40395.34, 40077.57, 40304.05
03/07/23, 40851.57, 40885.86, 40196.02, 40254.83
03/06/23, 40985.90, 41195.81, 40808.97, 40856.26
03/03/23, 40450.92, 40946.91, 40395.58, 40915.22
03/02/23, 39774.72, 40361.69, 39717.36, 40270.44
03/01/23, 40063.81, 40193.09, 39853.06, 39985.65
02/28/23, 40212.49, 40427.86, 40143.36, 40147.32
02/27/23, 40464.70, 40618.98, 40162.33, 40249.83
02/24/23, 40041.34, 40202.09, 39851.06, 40126.40
02/23/23, 40656.64, 40713.05, 40105.03, 40554.29
02/22/23, 40423.32, 40601.79, 40205.64, 40343.50
02/21/23, 40833.17, 40917.84, 40350.43, 40369.89
02/17/23, 41177.54, 41267.95, 40936.97, 41246.72
02/16/23, 41454.81, 41844.04, 41352.70, 41373.25
02/15/23, 41520.38, 41941.25, 41452.50, 41939.65
02/14/23, 41561.95, 41976.75, 41312.02, 41742.54
02/13/23, 41312.35, 41745.19, 41247.17, 41720.51
02/10/23, 41033.31, 41282.42, 40950.63, 41246.68
02/09/23, 41962.72, 41982.25, 41074.21, 41187.18
02/08/23, 41897.46, 42007.28, 41530.34, 41589.38
02/07/23, 41456.47, 42180.94, 41286.19, 42062.57
02/06/23, 41591.99, 41693.51, 41378.83, 41545.34
02/03/23, 41778.47, 42316.33, 41711.82, 41843.35
02/02/23, 42075.43, 42471.64, 41916.33, 42299.55
02/01/23, 41065.76, 41944.38, 40796.07, 41645.62
01/31/23, 40574.52, 41169.09, 40556.99, 41167.86
01/30/23, 40777.43, 40993.70, 40497.04, 40516.74
01/27/23, 40823.05, 41291.89, 40811.36, 41065.40
01/26/23, 40771.89, 40933.98, 40451.40, 40925.87
01/25/23, 40020.18, 40513.46, 39793.32, 40483.47
01/24/23, 40338.67, 40565.22, 40231.82, 40479.07
01/23/23, 40108.76, 40712.74, 40035.21, 40534.80
01/20/23, 39431.78, 40032.96, 39265.99, 40032.71
01/19/23, 39365.75, 39509.54, 39127.33, 39273.91
01/18/23, 40361.75, 40490.36, 39585.50, 39604.04
01/17/23, 40283.63, 40450.53, 40146.28, 40221.60
01/13/23, 39793.62, 40327.73, 39757.43, 40282.76
01/12/23, 40019.85, 40229.36, 39600.93, 40109.88
01/11/23, 39556.31, 39918.04, 39512.91, 39916.05
01/10/23, 39034.66, 39396.96, 38943.94, 39393.81
01/09/23, 39297.61, 39652.01, 39073.87, 39088.88
01/06/23, 38513.74, 39191.76, 38242.01, 39085.70
01/05/23, 38466.46, 38475.50, 38158.11, 38223.77
01/04/23, 38562.66, 38877.23, 38307.19, 38685.09
01/03/23, 38741.01, 38940.22, 38066.84, 38352.68
12/30/22, 38324.45, 38522.25, 38131.27, 38520.60
12/29/22, 38169.52, 38698.08, 38143.20, 38615.55
12/28/22, 38390.13, 38566.27, 37888.64, 37910.34
12/27/22, 38543.78, 38574.40, 38235.72, 38385.73
12/23/22, 38266.90, 38561.87, 38081.67, 38555.74
12/22/22, 38595.29, 38607.12, 37757.59, 38345.22
12/21/22, 38577.25, 39024.04, 38552.47, 38907.07
12/20/22, 38162.15, 38489.61, 38052.44, 38328.18
12/19/22, 38666.35, 38678.49, 38098.13, 38265.45
12/16/22, 38810.51, 38938.59, 38396.03, 38654.79
12/15/22, 39601.09, 39643.53, 38937.47, 39080.80
12/14/22, 40301.15, 40662.91, 39800.03, 40091.24
12/13/22, 41037.98, 41172.69, 40062.99, 40327.57
12/12/22, 39529.76, 40027.84, 39460.48, 40027.42
12/09/22, 39654.53, 39884.01, 39451.12, 39461.09
12/08/22, 39631.95, 39904.61, 39486.55, 39768.54
12/07/22, 39422.99, 39713.09, 39349.61, 39461.31
12/06/22, 40107.15, 40147.04, 39302.81, 39540.13
12/05/22, 40628.94, 40712.18, 39989.41, 40128.14
12/02/22, 40455.15, 41027.82, 40455.15, 40933.07
12/01/22, 41088.58, 41199.23, 40708.29, 40964.75
11/30/22, 39764.74, 40986.19, 39554.83, 40986.19
11/29/22, 39819.35, 39960.65, 39584.46, 39757.96
11/28/22, 40129.44, 40304.23, 39719.26, 39800.89
11/25/22, 40398.30, 40526.34, 40370.21, 40449.27
11/23/22, 40168.51, 40512.07, 40153.89, 40442.40
11/22/22, 39852.67, 40221.81, 39721.22, 40204.83
11/21/22, 39695.57, 39795.09, 39500.75, 39668.06
11/18/22, 40024.90, 40028.29, 39553.13, 39847.45
11/17/22, 39333.10, 39741.87, 39260.21, 39663.79
11/16/22, 40030.53, 40112.34, 39785.75, 39832.11
11/15/22, 40471.74, 40589.09, 39870.49, 40245.01
11/14/22, 40040.12, 40377.46, 39837.94, 39843.00
11/11/22, 39921.34, 40339.49, 39754.77, 40236.58
11/10/22, 38955.90, 39847.34, 38921.41, 39833.64
11/09/22, 38266.94, 38379.48, 37621.93, 37669.21
11/08/22, 38428.74, 38852.51, 38083.51, 38507.99
11/07/22, 38114.81, 38377.85, 37892.78, 38307.24
11/04/22, 38038.20, 38234.79, 37342.42, 37962.57
11/03/22, 37494.01, 37806.16, 37230.73, 37494.26
11/02/22, 38813.74, 39243.89, 37861.31, 37868.10
11/01/22, 39401.84, 39437.47, 38770.83, 38891.85
10/31/22, 39029.40, 39231.26, 38909.15, 39006.75
10/28/22, 38378.00, 39310.60, 38378.00, 39271.66
10/27/22, 38680.98, 38899.28, 38330.56, 38366.76
10/26/22, 38489.97, 39138.02, 38489.97, 38559.09
10/25/22, 38141.73, 38841.46, 38141.73, 38801.58
10/24/22, 37861.11, 38226.39, 37543.97, 38102.83
10/21/22, 36784.37, 37757.63, 36683.59, 37707.45
10/20/22, 37125.51, 37589.91, 36763.27, 36860.46
10/19/22, 37252.11, 37528.49, 36876.98, 37164.06
10/18/22, 37850.02, 37924.37, 37153.89, 37487.75
10/17/22, 36628.52, 37161.89, 36628.52, 37047.61
10/14/22, 37213.57, 37391.57, 36025.05, 36056.21
10/13/22, 35322.14, 37111.72, 35161.32, 36953.54
10/12/22, 36190.04, 36340.21, 36001.38, 36064.81
10/11/22, 36218.09, 36701.07, 35912.50, 36175.86
10/10/22, 36800.09, 36811.17, 36155.58, 36402.84
10/07/22, 37342.83, 37350.12, 36512.63, 36697.69
10/06/22, 38013.96, 38310.01, 37723.35, 37779.66
10/05/22, 37775.68, 38365.52, 37510.85, 38140.41
10/04/22, 37641.51, 38241.02, 37641.51, 38236.29
10/03/22, 36464.47, 37231.80, 36272.52, 37032.43
09/30/22, 36515.97, 36966.51, 36089.20, 36097.99
09/29/22, 37009.68, 37029.99, 36292.94, 36597.98
09/28/22, 36733.88, 37582.17, 36586.26, 37402.71
09/27/22, 37054.59, 37312.86, 36373.09, 36621.23
09/26/22, 36927.14, 37326.26, 36566.62, 36658.65
09/23/22, 37333.34, 37338.26, 36611.54, 37075.05
09/22/22, 38097.27, 38182.51, 37691.38, 37756.08
09/21/22, 39048.24, 39370.17, 38177.57, 38180.08
09/20/22, 38999.23, 39050.98, 38560.36, 38833.96
09/19/22, 38681.54, 39318.68, 38678.41, 39311.04
09/16/22, 39004.74, 39076.83, 38676.39, 39038.34
09/15/22, 39641.46, 39970.91, 39250.44, 39386.52
09/14/22, 39781.46, 39946.74, 39468.15, 39811.85
09/13/22, 40532.33, 40608.93, 39566.44, 39678.06
09/12/22, 41224.64, 41524.85, 41203.46, 41446.19
09/09/22, 40602.75, 41095.52, 40602.75, 41006.21
09/08/22, 39793.69, 40373.70, 39690.92, 40350.79
09/07/22, 39287.00, 40127.21, 39276.54, 40054.29
09/06/22, 39587.40, 39666.32, 39093.93, 39304.88
09/02/22, 40293.15, 40420.76, 39315.07, 39491.05
09/01/22, 39602.22, 39915.30, 39258.96, 39890.14
08/31/22, 40321.82, 40468.75, 39865.86, 39865.88
08/30/22, 40773.17, 40777.44, 39959.74, 40170.07
08/29/22, 40580.85, 40962.31, 40508.29, 40626.82
08/26/22, 42349.66, 42358.63, 40916.00, 40916.00
08/25/22, 41890.47, 42348.96, 41821.26, 42337.17
08/24/22, 41541.77, 41886.01, 41482.98, 41723.20
08/23/22, 41617.85, 41903.37, 41525.48, 41564.58
08/22/22, 42021.17, 42021.17, 41555.67, 41636.22
08/19/22, 42881.28, 42892.70, 42448.24, 42550.57
08/18/22, 43063.54, 43255.80, 42941.48, 43169.52
08/17/22, 43039.27, 43349.00, 42836.83, 43056.53
08/16/22, 43256.25, 43643.76, 43134.56, 43441.80
08/15/22, 42974.49, 43410.05, 42958.48, 43369.00
08/12/22, 42694.72, 43210.55, 42603.58, 43209.34
08/11/22, 42777.54, 43015.92, 42406.85, 42466.59
08/10/22, 42254.51, 42501.90, 42129.34, 42490.81
08/09/22, 41675.54, 41720.15, 41417.82, 41528.91
08/08/22, 41937.79, 42250.80, 41678.37, 41783.23
08/05/22, 41330.99, 41835.54, 41330.99, 41775.13
08/04/22, 41800.98, 41875.82, 41614.99, 41785.89
08/03/22, 41396.26, 41940.13, 41394.25, 41822.77
08/02/22, 41221.63, 41653.10, 41041.95, 41171.14
08/01/22, 41232.38, 41651.35, 41123.68, 41401.21
07/29/22, 41065.71, 41592.42, 40976.39, 41499.00
07/28/22, 40493.47, 40993.77, 40118.01, 40946.31
07/27/22, 39762.35, 40590.19, 39733.70, 40442.12
07/26/22, 39711.31, 39723.13, 39312.84, 39411.58
07/25/22, 39887.49, 39966.38, 39650.64, 39887.03
07/22/22, 40271.22, 40400.20, 39599.63, 39828.71
07/21/22, 39819.07, 40260.68, 39538.93, 40259.28
07/20/22, 39563.16, 40003.16, 39450.76, 39883.31
07/19/22, 38880.29, 39597.72, 38848.31, 39569.67
07/18/22, 39088.66, 39201.24, 38366.90, 38479.24
07/15/22, 38464.82, 38760.88, 38246.14, 38760.80
07/14/22, 37689.65, 38077.68, 37359.48, 38016.51
07/13/22, 37795.11, 38450.07, 37728.52, 38191.30
07/12/22, 38642.00, 38890.62, 38176.71, 38348.66
07/11/22, 38899.63, 38979.01, 38615.02, 38683.75
07/08/22, 39042.84, 39392.84, 38863.56, 39181.63
07/07/22, 38777.91, 39300.82, 38777.91, 39225.27
07/06/22, 38528.20, 38842.49, 38234.85, 38586.22
07/05/22, 37894.54, 38523.32, 37546.56, 38519.33
07/01/22, 37910.67, 38442.66, 37657.17, 38400.94
06/30/22, 37894.43, 38330.76, 37494.16, 37976.52
06/29/22, 38432.43, 38511.20, 38126.41, 38334.01
06/28/22, 39378.06, 39654.26, 38407.68, 38419.10
06/27/22, 39445.05, 39482.93, 39076.98, 39209.71
06/24/22, 38454.56, 39322.75, 38454.56, 39315.46
06/23/22, 37915.06, 38196.80, 37572.88, 38127.06
06/22/22, 37323.97, 38134.66, 37280.74, 37723.66
06/21/22, 37464.86, 37956.48, 37464.86, 37772.99
06/17/22, 36795.13, 37228.96, 36515.28, 36917.10
06/16/22, 37287.37, 37287.37, 36496.17, 36759.60
06/15/22, 37882.07, 38562.19, 37421.31, 38094.61
06/14/22, 37843.10, 37954.82, 37223.75, 37528.25
06/13/22, 38280.32, 38395.85, 37516.58, 37668.24
06/10/22, 39815.51, 39848.59, 39260.80, 39278.88
06/09/22, 41281.68, 41449.61, 40474.47, 40477.04
06/08/22, 41753.57, 41935.10, 41383.75, 41475.07
06/07/22, 41151.99, 41973.64, 41089.51, 41937.24
06/06/22, 41790.35, 41956.98, 41388.32, 41509.51
06/03/22, 41568.96, 41720.10, 41267.50, 41376.71
06/02/22, 41177.21, 42049.11, 41014.65, 42043.76
06/01/22, 41773.34, 41874.11, 40904.49, 41211.72
05/31/22, 41684.07, 41879.49, 41259.46, 41524.55
05/27/22, 41056.15, 41840.89, 41050.85, 41840.51
05/26/22, 40088.87, 40978.96, 40088.87, 40806.10
05/25/22, 39379.04, 40187.31, 39367.69, 39980.20
05/24/22, 39512.22, 39665.44, 38881.57, 39527.60
05/23/22, 39549.37, 40039.55, 39300.73, 39949.87
05/20/22, 39659.85, 39704.73, 38342.04, 39275.86
05/19/22, 39120.46, 39734.30, 38991.28, 39278.85
05/18/22, 40621.35, 40625.76, 39319.95, 39432.06
05/17/22, 40828.22, 41086.69, 40471.27, 41077.93
05/16/22, 40275.41, 40606.09, 40014.89, 40213.04
05/13/22, 39838.63, 40585.40, 39793.20, 40426.49
05/12/22, 38975.15, 39737.06, 38659.79, 39384.24
05/11/22, 39953.37, 40576.34, 39280.41, 39343.92
05/10/22, 40597.56, 40776.52, 39568.71, 40062.65
05/09/22, 40817.40, 40901.48, 39825.15, 39985.99
05/06/22, 41541.85, 41820.49, 40883.00, 41433.22
05/05/22, 42958.36, 42966.13, 41357.80, 41776.56
05/04/22, 42220.32, 43456.93, 41812.88, 43385.86
05/03/22, 41978.35, 42384.70, 41860.59, 42150.93
05/02/22, 41678.85, 42085.93, 41009.96, 41955.68
04/29/22, 42845.90, 43118.17, 41607.07, 41679.16
04/28/22, 42687.53, 43424.02, 42164.81, 43212.28
04/27/22, 42225.73, 42748.51, 41992.02, 42195.74
04/26/22, 43138.28, 43155.78, 42137.10, 42137.36
04/25/22, 42859.01, 43420.58, 42438.39, 43398.84
04/22/22, 44216.95, 44230.80, 43085.05, 43118.81
04/21/22, 45482.29, 45622.47, 44235.58, 44329.36
04/20/22, 45291.46, 45390.98, 44985.69, 45080.42
04/19/22, 44363.23, 45211.99, 44357.57, 45125.57
04/18/22, 44324.04, 44548.10, 44133.28, 44351.77
04/14/22, 45012.69, 45120.85, 44413.82, 44429.53
04/13/22, 44377.04, 45049.02, 44373.25, 44976.21
04/12/22, 44877.90, 45182.48, 44246.18, 44402.59
04/11/22, 44900.00, 45001.87, 44493.93, 44534.85
04/08/22, 45303.94, 45573.76, 45088.09, 45223.56
04/07/22, 45137.19, 45588.10, 44833.86, 45374.78
04/06/22, 45293.42, 45478.38, 44913.56, 45234.48
04/05/22, 46272.60, 46481.27, 45641.31, 45741.44
04/04/22, 46074.93, 46426.34, 46012.41, 46413.63
04/01/22, 46006.03, 46062.33, 45652.78, 46045.70
03/31/22, 46501.45, 46584.81, 45847.23, 45847.30
03/30/22, 46812.26, 46888.04, 46345.73, 46557.30
03/29/22, 46637.90, 47013.60, 46454.02, 46941.20
03/28/22, 45901.44, 46260.98, 45644.27, 46259.87
03/25/22, 45842.58, 45984.81, 45522.33, 45945.20
03/24/22, 45329.13, 45774.22, 45216.20, 45771.94
03/23/22, 45467.03, 45636.69, 45133.30, 45136.07
03/22/22, 45337.41, 45822.60, 45337.41, 45722.91
03/21/22, 45222.97, 45440.50, 44817.02, 45184.51
03/18/22, 44625.49, 45287.93, 44494.12, 45264.01
03/17/22, 43929.18, 44705.58, 43871.97, 44705.39
03/16/22, 43451.86, 44112.23, 43002.07, 44110.08
03/15/22, 42413.95, 43121.78, 42299.95, 43044.80
03/14/22, 42627.85, 42946.91, 42045.96, 42169.18
03/11/22, 43452.86, 43498.35, 42548.62, 42581.35
03/10/22, 42944.83, 43271.68, 42664.37, 43188.14
03/09/22, 43043.10, 43586.89, 42935.07, 43377.36
03/08/22, 42461.26, 43304.93, 42084.67, 42240.46
03/07/22, 43737.10, 43777.17, 42455.20, 42463.19
03/04/22, 43889.90, 43923.56, 43380.70, 43803.40
03/03/22, 44797.69, 44826.45, 44066.93, 44249.64
03/02/22, 43995.68, 44736.98, 43923.69, 44592.28
03/01/22, 44349.69, 44521.29, 43488.84, 43760.73
02/28/22, 44021.19, 44641.75, 43887.33, 44467.72
02/25/22, 43658.97, 44520.10, 43474.59, 44516.75
02/24/22, 41804.16, 43599.02, 41650.09, 43535.30
02/23/22, 43925.64, 43999.27, 42751.19, 42787.29
02/22/22, 43855.45, 44251.22, 43255.58, 43617.31
02/18/22, 44471.73, 44630.34, 43894.12, 44102.29
02/17/22, 45146.36, 45184.18, 44400.35, 44461.61
02/16/22, 45242.67, 45622.12, 45034.13, 45485.15
02/15/22, 45109.84, 45492.44, 45109.84, 45467.84
02/14/22, 44772.04, 44964.50, 44321.13, 44670.32
02/11/22, 45752.49, 45951.22, 44670.80, 44852.30
02/10/22, 45958.29, 46638.86, 45501.42, 45711.77
02/09/22, 46208.84, 46539.79, 46208.84, 46524.40
02/08/22, 45304.87, 45883.26, 45179.19, 45789.32
02/07/22, 45562.94, 45748.68, 45243.85, 45363.68
02/04/22, 45199.19, 45867.03, 44938.07, 45482.72
02/03/22, 45653.82, 45865.07, 45116.04, 45179.62
02/02/22, 46265.17, 46380.92, 45891.79, 46321.49
02/01/22, 45790.65, 46077.91, 45321.16, 46037.46
01/31/22, 44653.66, 45681.15, 44557.82, 45677.13
01/28/22, 43770.19, 44705.40, 43266.29, 44699.51
01/27/22, 44403.34, 44749.44, 43470.68, 43637.55
01/26/22, 44779.92, 45103.21, 43512.30, 43958.22
01/25/22, 44099.31, 44677.71, 43431.14, 44102.32
01/24/22, 43774.64, 44776.08, 42706.01, 44708.28
01/21/22, 45203.14, 45502.15, 44458.77, 44480.38
01/20/22, 46106.33, 46671.80, 45322.14, 45369.23
01/19/22, 46532.32, 46728.81, 45883.65, 45903.33
01/18/22, 46810.16, 46827.46, 46292.08, 46372.72
01/14/22, 46960.09, 47333.69, 46776.59, 47316.14
01/13/22, 48142.57, 48195.67, 47212.00, 47297.36
01/12/22, 48152.01, 48293.19, 47795.18, 48002.87
01/11/22, 47453.82, 47942.89, 47163.27, 47933.95
01/10/22, 47173.26, 47479.38, 46517.48, 47455.34
01/07/22, 47755.80, 47931.23, 47391.90, 47528.28
01/06/22, 47711.56, 48079.18, 47433.96, 47764.14
01/05/22, 48775.90, 48864.71, 47761.45, 47770.39
01/04/22, 49060.58, 49145.48, 48617.32, 48846.02
01/03/22, 48790.14, 48929.48, 48525.23, 48929.18
12/31/21, 48726.78, 48862.68, 48633.97, 48634.31
12/30/21, 48898.68, 49074.71, 48740.60, 48773.20
12/29/21, 48840.04, 48968.85, 48684.09, 48870.99
12/28/21, 48961.68, 49090.79, 48759.21, 48815.33
12/27/21, 48417.15, 48919.54, 48409.41, 48918.18
12/23/21, 48087.01, 48449.32, 48070.57, 48302.65
12/22/21, 47506.69, 47995.23, 47483.26, 47987.53
12/21/21, 46959.50, 47544.95, 46832.06, 47527.23
12/20/21, 46599.84, 46643.95, 46196.53, 46594.03
12/17/21, 47205.89, 47603.56, 46855.28, 47172.38
12/16/21, 48203.78, 48250.51, 47320.45, 47503.92
12/15/21, 47272.73, 48038.19, 46950.99, 48013.53
12/14/21, 47255.73, 47532.34, 46991.06, 47254.19
12/13/21, 48045.05, 48067.37, 47612.36, 47631.05
12/10/21, 48044.54, 48155.40, 47716.96, 48094.69
12/09/21, 48054.72, 48159.47, 47749.36, 47756.80
12/08/21, 48097.09, 48275.54, 47932.86, 48232.99
12/07/21, 47626.95, 48137.42, 47626.95, 48019.47
12/06/21, 46674.37, 47227.06, 46378.20, 47007.56
12/03/21, 47152.05, 47241.04, 46006.94, 46441.66
12/02/21, 46194.80, 47135.24, 46194.80, 46955.02
12/01/21, 47493.85, 47780.92, 46192.41, 46216.66
11/30/21, 47585.95, 47743.01, 46835.60, 46906.96
11/29/21, 47865.25, 48076.78, 47534.77, 47856.44
11/26/21, 47755.96, 47832.05, 47204.63, 47329.19
11/24/21, 48070.57, 48462.57, 47960.24, 48443.39
11/23/21, 48212.23, 48451.98, 47879.44, 48305.06
11/22/21, 48721.57, 48946.73, 48278.46, 48284.07
11/19/21, 48680.46, 48756.13, 48502.30, 48528.59
11/18/21, 48725.99, 48730.06, 48341.05, 48652.55
11/17/21, 48750.09, 48760.70, 48518.32, 48580.23
11/16/21, 48565.82, 48905.48, 48547.59, 48782.07
11/15/21, 48720.70, 48738.44, 48472.65, 48582.45
11/12/21, 48368.44, 48652.61, 48292.71, 48599.73
11/11/21, 48369.10, 48376.43, 48243.95, 48255.53
11/10/21, 48434.19, 48645.84, 47997.55, 48176.47
11/09/21, 48875.62, 48895.65, 48508.90, 48665.92
11/08/21, 48887.23, 48947.86, 48766.77, 48824.98
11/05/21, 48808.97, 48971.62, 48554.77, 48742.86
11/04/21, 48461.06, 48634.63, 48383.83, 48545.12
11/03/21, 47998.88, 48416.40, 47942.17, 48388.08
11/02/21, 47913.90, 48056.50, 47867.72, 48031.14
11/01/21, 47795.68, 47899.22, 47636.01, 47894.10
10/29/21, 47327.07, 47699.80, 47327.07, 47670.90
10/28/21, 47233.71, 47601.23, 47233.71, 47593.04
10/27/21, 47461.65, 47492.93, 47072.51, 47072.64
10/26/21, 47610.28, 47716.64, 47369.87, 47427.78
10/25/21, 47278.47, 47470.06, 47093.08, 47403.82
10/22/21, 47166.94, 47334.15, 46937.67, 47159.44
10/21/21, 47035.99, 47263.95, 47006.79, 47249.35
10/20/21, 46970.33, 47137.83, 46961.03, 47083.90
10/19/21, 46756.42, 46931.78, 46694.57, 46904.78
10/18/21, 46251.23, 46600.80, 46189.01, 46582.91
10/15/21, 46412.37, 46505.06, 46333.26, 46420.03
10/14/21, 45796.64, 46160.10, 45779.67, 46145.41
10/13/21, 45319.99, 45470.58, 45017.79, 45388.01
10/12/21, 45336.60, 45413.60, 45110.18, 45198.96
10/11/21, 45479.06, 45790.68, 45214.27, 45219.80
10/08/21, 45752.40, 45779.92, 45491.24, 45526.24
10/07/21, 45563.20, 45953.40, 45563.20, 45655.66
10/06/21, 44675.52, 45242.75, 44489.43, 45223.41
10/05/21, 44777.25, 45287.95, 44714.55, 45061.71
10/04/21, 45112.50, 45183.62, 44405.42, 44616.60
10/01/21, 44886.21, 45418.71, 44500.75, 45232.37
09/30/21, 45360.44, 45443.37, 44704.08, 44705.79
09/29/21, 45334.81, 45489.08, 45157.72, 45194.36
09/28/21, 45811.50, 45861.75, 45129.81, 45170.54
09/27/21, 46103.06, 46289.66, 46030.47, 46151.73
09/24/21, 46024.05, 46310.26, 45997.41, 46225.29
09/23/21, 45862.87, 46365.49, 45849.55, 46203.01
09/22/21, 45402.54, 45860.13, 45342.17, 45633.60
09/21/21, 45436.84, 45567.86, 45070.04, 45177.77
09/20/21, 45271.41, 45422.72, 44631.73, 45173.57
09/17/21, 46266.86, 46349.95, 45907.10, 45995.39
09/16/21, 46355.56, 46483.96, 46043.60, 46353.04
09/15/21, 46049.36, 46452.10, 45939.06, 46393.79
09/14/21, 46452.95, 46466.42, 45919.08, 45998.00
09/13/21, 46505.61, 46527.92, 46071.58, 46297.72
09/10/21, 46796.14, 46841.91, 46189.26, 46196.95
09/09/21, 46718.64, 46929.74, 46555.77, 46562.72
09/08/21, 46809.95, 46856.30, 46531.37, 46741.19
09/07/21, 47034.65, 47034.65, 46820.90, 46863.30
09/03/21, 47013.87, 47119.55, 46946.52, 47066.22
09/02/21, 47090.04, 47153.84, 46958.90, 47089.89
09/01/21, 46983.60, 47071.15, 46882.63, 46934.27
08/31/21, 46947.97, 46965.22, 46802.00, 46882.41
08/30/21, 46884.82, 47046.22, 46817.99, 46954.24
08/27/21, 46401.75, 46838.32, 46400.94, 46795.53
08/26/21, 46573.69, 46600.04, 46290.00, 46304.40
08/25/21, 46515.41, 46660.35, 46463.53, 46597.63
08/24/21, 46420.10, 46533.30, 46390.68, 46469.71
08/23/21, 46069.26, 46403.68, 46069.26, 46317.98
08/20/21, 45505.86, 45894.90, 45470.80, 45873.86
08/19/21, 45143.18, 45613.57, 45131.01, 45463.22
08/18/21, 45863.64, 46015.14, 45465.01, 45489.04
08/17/21, 46019.23, 46067.07, 45624.62, 45958.55
08/16/21, 46131.84, 46314.53, 45921.63, 46310.98
08/13/21, 46304.14, 46311.38, 46220.33, 46280.65
08/12/21, 46124.27, 46270.28, 46016.29, 46257.92
08/11/21, 46150.39, 46150.46, 45963.74, 46142.27
08/10/21, 46064.94, 46136.13, 45982.84, 46028.87
08/09/21, 46037.80, 46084.84, 45900.28, 46005.50
08/06/21, 46040.49, 46144.40, 45971.32, 46053.93
08/05/21, 45791.58, 46002.96, 45755.08, 46001.13
08/04/21, 45734.45, 45828.26, 45651.94, 45672.81
08/03/21, 45658.33, 45893.36, 45357.47, 45888.03
08/02/21, 45841.59, 45918.63, 45530.22, 45556.86
07/30/21, 45595.33, 45869.85, 45577.09, 45637.19
07/29/21, 45819.80, 46043.06, 45819.80, 45896.93
07/28/21, 45713.00, 45864.82, 45547.92, 45704.44
07/27/21, 45748.77, 45748.77, 45294.99, 45620.06
07/26/21, 45744.89, 45876.76, 45725.92, 45873.09
07/23/21, 45564.38, 45814.56, 45467.55, 45781.53
07/22/21, 45329.53, 45368.99, 45144.59, 45326.59
07/21/21, 45031.56, 45308.10, 45028.90, 45301.15
07/20/21, 44269.52, 45037.67, 44172.69, 44885.98
07/19/21, 44199.07, 44244.94, 43869.80, 44122.93
