Date, Open, High, Low, Close
05/09/23, 4344.42, 4344.42, 4305.31, 4323.09
05/08/23, 4335.22, 4355.41, 4334.13, 4348.65
05/05/23, 4280.92, 4340.48, 4280.92, 4340.43
05/04/23, 4280.66, 4302.04, 4264.41, 4287.03
05/03/23, 4303.53, 4329.03, 4303.53, 4310.18
05/02/23, 4353.41, 4372.66, 4291.66, 4294.85
05/01/23, 4359.31, 4359.31, 4359.31, 4359.31
04/28/23, 4353.92, 4376.30, 4305.63, 4359.31
04/27/23, 4345.04, 4368.95, 4327.98, 4358.05
04/26/23, 4373.21, 4373.21, 4324.43, 4347.71
04/25/23, 4393.23, 4393.23, 4363.98, 4377.85
04/24/23, 4398.51, 4411.67, 4387.64, 4401.80
04/21/23, 4382.06, 4408.59, 4367.56, 4408.59
04/20/23, 4391.92, 4400.61, 4365.91, 4384.86
04/19/23, 4393.46, 4397.16, 4373.19, 4393.57
04/18/23, 4367.62, 4407.74, 4367.62, 4393.95
04/17/23, 4392.40, 4401.97, 4366.22, 4367.61
04/14/23, 4364.09, 4397.58, 4363.31, 4390.75
04/13/23, 4334.67, 4363.61, 4334.67, 4363.24
04/12/23, 4332.33, 4374.23, 4323.67, 4334.03
04/11/23, 4312.66, 4343.92, 4312.66, 4333.29
04/06/23, 4295.55, 4313.74, 4293.85, 4309.45
04/05/23, 4316.29, 4320.83, 4286.21, 4298.36
04/04/23, 4312.15, 4346.95, 4311.02, 4315.32
04/03/23, 4312.99, 4329.29, 4304.89, 4311.05
03/31/23, 4285.84, 4325.34, 4278.31, 4315.05
03/30/23, 4232.59, 4295.32, 4232.59, 4285.42
03/29/23, 4168.61, 4233.59, 4168.61, 4231.27
03/28/23, 4169.53, 4205.35, 4157.11, 4168.21
03/27/23, 4133.80, 4190.14, 4133.80, 4164.62
03/24/23, 4193.16, 4193.16, 4093.16, 4130.62
03/23/23, 4195.22, 4215.20, 4166.00, 4207.14
03/22/23, 4174.90, 4212.81, 4167.12, 4195.70
03/21/23, 4139.89, 4206.93, 4139.89, 4181.60
03/20/23, 4054.70, 4136.19, 3980.94, 4119.42
03/17/23, 4137.37, 4174.67, 4042.75, 4064.99
03/16/23, 4060.41, 4135.00, 4021.45, 4116.98
03/15/23, 4175.62, 4178.46, 4018.30, 4034.92
03/14/23, 4104.57, 4189.08, 4088.58, 4179.47
03/13/23, 4228.32, 4229.22, 4071.94, 4096.54
03/10/23, 4256.43, 4256.43, 4190.98, 4229.53
03/09/23, 4283.30, 4297.56, 4257.20, 4286.12
03/08/23, 4272.37, 4298.95, 4264.23, 4288.45
03/07/23, 4306.25, 4319.06, 4277.82, 4278.96
03/06/23, 4306.65, 4324.27, 4295.69, 4313.78
03/03/23, 4256.81, 4298.78, 4256.81, 4294.80
03/02/23, 4204.80, 4241.39, 4178.65, 4240.59
03/01/23, 4243.38, 4276.06, 4206.32, 4215.75
02/28/23, 4238.46, 4268.66, 4222.23, 4238.38
02/27/23, 4191.84, 4266.82, 4191.84, 4248.01
02/24/23, 4263.38, 4280.14, 4171.93, 4178.82
02/23/23, 4249.95, 4282.88, 4249.95, 4258.16
02/22/23, 4245.75, 4248.06, 4205.93, 4242.88
02/21/23, 4265.18, 4265.29, 4210.17, 4250.40
02/20/23, 4281.72, 4284.56, 4262.21, 4271.18
02/17/23, 4283.04, 4288.08, 4232.25, 4274.92
02/16/23, 4295.99, 4316.17, 4269.44, 4297.24
02/15/23, 4237.00, 4283.62, 4234.39, 4280.04
02/14/23, 4244.47, 4279.57, 4233.73, 4238.76
02/13/23, 4202.03, 4244.62, 4202.03, 4241.36
02/10/23, 4242.36, 4242.36, 4172.95, 4197.94
02/09/23, 4226.85, 4275.58, 4226.85, 4250.14
02/08/23, 4220.86, 4248.38, 4208.40, 4209.15
02/07/23, 4206.39, 4218.49, 4192.95, 4209.31
02/06/23, 4246.45, 4246.45, 4186.66, 4205.45
02/03/23, 4230.53, 4257.98, 4206.26, 4257.98
02/02/23, 4174.33, 4245.08, 4174.33, 4241.12
02/01/23, 4168.81, 4187.61, 4159.01, 4171.44
01/31/23, 4155.31, 4166.17, 4124.58, 4163.45
01/30/23, 4166.75, 4166.75, 4122.21, 4158.63
01/27/23, 4177.26, 4188.71, 4154.53, 4178.01
